instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,leaflets,price reduction,casual,registered,cnt,date_offset,season_clean,weekday_clean
341,2011-12-07,4.0,0,12,0,3,1,3,16.4,0.400246,,0.266175,586,1,50,655,705,887,4,2
277,2011-10-04,4.0,0,10,0,2,1,1,19.3667,0.472858,106.5,0.205854,819,0,486,3970,4456,684,4,1
408,2012-02-12,1.0,1,2,0,0,0,1,5.1,0.101658,69.68745,0.409212,644,0,73,1456,1529,1192,1,6
682,2012-11-12,4.0,1,11,1,1,0,1,19.4,0.475383,111.25005,0.173517,793,0,1097,5172,6269,792,4,0
206,2011-07-25,3.0,0,7,0,1,1,1,29.7333,0.720958,113.56245,0.0908083,474,0,568,3272,3840,405,3,0
190,2011-07-09,3.0,0,7,0,6,0,1,29.3333,0.664158,91.37505,0.16791199999999998,755,0,1988,3348,5336,389,3,5
202,2011-07-21,3.0,0,7,0,4,1,2,32.6,0.826371,103.6875,0.222021,788,0,632,3152,3784,401,3,3
620,2012-09-11,,1,9,0,2,1,1,23.1,0.554292,78.0,0.0920542,469,0,1070,6697,7767,591,3,1
100,2011-04-10,2.0,0,4,0,0,0,2,17.0667,0.426737,128.625,0.146767,661,0,1188,1707,2895,90,2,6
312,2011-11-08,4.0,0,11,0,-1,1,1,16.3333,0.412246,108.25005,0.0690375,686,0,376,3829,4205,788,4,1
554,2012-07-07,3.0,1,7,0,6,0,1,34.4667,0.804913,73.81245,0.163554,834,0,1448,3392,4840,387,3,5
208,2011-07-27,,0,7,0,3,1,1,31.0,0.690667,60.43755,0.183463,654,0,755,3901,4656,407,3,2
661,2012-10-22,4.0,1,10,0,1,1,1,19.5,0.482942,85.24995,0.08148330000000001,599,0,830,6228,7058,702,4,0
162,2011-06-11,2.0,0,6,0,6,0,1,29.0,0.678038,98.18745,0.15485,841,0,1729,3237,4966,291,2,5
316,2011-11-12,4.0,0,11,0,-1,0,1,14.2667,0.357942,82.93755,0.212062,598,0,1275,2792,4067,792,4,5
353,2011-12-19,4.0,0,12,0,1,1,1,11.0667,0.280933,95.625,0.172896,703,0,260,3143,3403,899,4,0
726,2012-12-26,1.0,1,12,0,3,1,3,9.7333,0.220333,123.49995,0.316546,701,0,9,432,441,906,1,2
654,2012-10-15,4.0,1,10,0,1,1,2,22.4667,0.53915,,0.296037,598,0,760,5115,5875,695,4,0
599,2012-08-21,3.0,1,8,0,2,1,1,25.9667,0.601025,101.0625,0.07277080000000001,964,0,1081,5925,7006,501,3,1
680,2012-11-10,,1,11,0,6,0,1,15.5667,0.393937,96.81255,0.05784580000000001,901,0,2090,4446,6536,790,4,5
447,2012-03-22,2.0,1,3,0,4,1,1,22.1667,0.531567,124.6875,0.117562,750,0,1334,5537,6871,2,2,3
339,2011-12-05,,0,12,0,1,1,2,15.4333,0.393925,124.06245,0.062208300000000015,628,0,233,3578,3811,885,4,0
512,2012-05-26,2.0,1,5,0,6,0,1,27.7,0.642696,109.875,0.198992,869,0,2855,3681,6536,206,2,5
420,2012-02-24,1.0,1,2,0,5,1,2,16.3,0.410971,110.625,0.237567,944,0,246,3241,3487,1204,1,4
248,2011-09-05,3.0,0,9,1,1,0,2,26.9333,0.625646,118.56255,0.212696,887,1,1236,2115,3351,585,3,0
1,2011-01-01,,0,1,0,6,0,2,13.7667,0.363625,120.87495,0.160446,755,0,331,654,985,1081,1,5
648,2012-10-09,4.0,1,10,0,2,1,2,17.8667,0.438112,114.25005,0.1903,611,0,601,5791,6392,689,4,1
313,2011-11-09,4.0,0,11,0,-1,1,1,16.0,0.409079,113.74995,0.06219580000000001,864,0,305,3804,4109,789,4,2
88,2011-03-29,2.0,0,3,0,2,1,1,12.1,0.292908,47.12505,0.226996,829,0,317,2108,2425,9,2,1
83,2011-03-24,2.0,0,3,0,4,1,2,11.4,0.270833,120.87495,0.243787,861,0,166,1699,1865,4,2,3
305,2011-11-01,4.0,0,11,0,2,1,1,16.0333,0.397088,102.5625,0.135571,675,0,410,3658,4068,781,4,1
465,2012-04-09,2.0,1,4,0,1,1,1,19.5667,0.476638,47.625,0.358196,585,1,905,4680,5585,89,2,0
488,2012-05-02,2.0,1,5,0,3,1,1,22.5667,0.537896,119.56245,0.138058,813,0,667,5502,6169,182,2,2
615,2012-09-06,,1,9,0,4,1,2,27.8667,0.655329,121.56255,0.142421,598,1,611,5592,6203,586,3,3
712,2012-12-12,4.0,1,12,0,3,1,2,11.9,0.297338,80.74995,0.162937,802,1,310,5009,5319,892,4,2
541,2012-06-24,3.0,1,6,0,0,0,1,29.7333,0.674254,71.87505,0.145525,731,0,2551,4340,6891,304,3,6
510,2012-05-24,,1,5,0,4,1,1,26.2,0.6067,107.50005,0.172896,706,0,1059,5711,6770,204,2,3
157,2011-06-06,2.0,0,6,0,1,1,1,27.1333,0.621858,90.0,0.121896,912,0,673,3875,4548,286,2,0
373,2012-01-08,1.0,1,1,0,0,0,1,13.5,0.340258,69.75,0.191542,969,0,599,2826,3425,1088,1,6
161,2011-06-10,2.0,0,6,0,5,1,1,30.2,0.703292,90.75,0.14055399999999998,840,0,815,3771,4586,290,2,4
314,2011-11-10,4.0,0,11,0,-1,1,2,15.2,0.373721,121.99995,0.189067,684,1,190,2743,2933,790,4,3
179,2011-06-28,3.0,0,6,0,2,1,1,29.7667,0.692558,95.12505,0.144283,997,0,732,3916,4648,308,3,1
716,2012-12-16,,1,12,0,0,0,2,14.5,0.369938,125.8125,0.100742,491,0,538,3248,3786,896,4,6
398,2012-02-02,1.0,1,2,0,4,1,2,15.9667,0.398971,,0.187187,547,0,190,3571,3761,1182,1,3
229,2011-08-17,3.0,0,8,0,3,1,1,28.9333,0.666671,86.31255,0.14366700000000002,905,0,668,4026,4694,497,3,2
439,2012-03-14,1.0,1,3,0,3,1,1,22.9,0.548617,76.06245,0.11506199999999997,887,0,997,5315,6312,1294,1,2
103,2011-04-13,2.0,0,4,0,3,1,2,16.5,0.417283,122.87505,0.25061700000000003,694,1,209,1953,2162,93,2,2
545,2012-06-28,3.0,1,6,0,4,1,1,29.9667,0.675512,63.375,0.17165,772,0,921,5958,6879,308,3,3
596,2012-08-18,3.0,1,8,0,6,0,1,27.1333,0.618071,90.49995,0.177867,507,0,2827,5038,7865,498,3,5
315,2011-11-11,4.0,0,11,1,-1,0,1,12.9667,0.306817,66.9375,0.314675,617,0,440,2928,3368,791,4,4
694,2012-11-24,4.0,1,11,0,6,0,1,11.1333,0.248742,,0.376871,496,0,532,1745,2277,804,4,5
540,2012-06-23,3.0,1,6,0,6,0,1,29.2667,0.652792,80.18745,0.179721,978,1,2657,4801,7458,303,3,5
490,2012-05-04,2.0,1,5,0,5,1,1,25.1,0.590917,110.31255,0.162938,476,0,1069,5227,6296,184,2,4
588,2012-08-10,3.0,1,8,0,5,1,2,28.6333,0.667942,107.37495,0.238813,733,0,1065,4721,5786,490,3,4
656,2012-10-17,4.0,1,10,0,3,1,1,18.2333,0.450108,,0.101371,492,1,979,6482,7461,697,4,2
92,2011-04-02,2.0,0,4,0,6,0,2,12.6,0.315637,98.0625,0.197146,672,0,898,1354,2252,82,2,5
359,2011-12-25,1.0,0,12,0,0,0,1,10.9913,0.279961,102.1956,0.155091,989,0,303,451,754,905,1,6
496,2012-05-10,2.0,1,5,0,4,1,1,20.2333,0.491783,82.81245,0.31406300000000004,550,0,1026,5546,6572,190,2,3
362,2011-12-28,1.0,0,12,0,3,1,1,11.9652,0.279974,75.58695,0.29396100000000003,840,0,255,2047,2302,908,1,2
254,2011-09-11,3.0,0,9,0,0,0,1,26.1333,0.609229,107.0625,0.115054,1005,0,1633,3413,5046,591,3,6
421,2012-02-25,1.0,1,2,0,6,0,1,11.6333,0.255675,59.37495,0.421642,669,0,317,2415,2732,1205,1,5
296,2011-10-23,4.0,0,10,0,0,0,1,16.8667,0.422333,111.1875,0.0995125,607,0,1619,2762,4381,703,4,6
639,2012-09-30,4.0,1,9,0,0,0,1,21.0667,0.517663,87.49995,0.134958,952,0,2015,4874,6889,610,4,6
146,2011-05-26,2.0,0,5,0,4,1,1,28.3333,0.654688,101.625,0.199642,720,0,758,3919,4677,206,2,3
197,2011-07-16,3.0,0,7,0,6,0,1,27.4667,0.638263,87.75,-1.0,731,0,2418,3505,5923,396,3,5
619,2012-09-10,3.0,1,9,0,1,1,1,23.3333,0.565654,75.5625,0.258713,748,0,1118,6407,7525,590,3,0
252,2011-09-09,3.0,0,9,0,5,1,2,26.0,0.578946,134.68755,0.124379,1002,0,417,3127,3544,589,3,4
241,2011-08-29,3.0,0,8,0,1,1,1,25.4667,0.607958,83.18745,0.159825,587,0,729,3905,4634,509,3,0
357,2011-12-23,1.0,0,12,0,5,1,1,14.9333,0.377513,102.9375,0.274246,762,0,163,2046,2209,903,1,4
185,2011-07-04,3.0,0,7,1,1,0,2,29.0667,0.665417,95.68755,0.08147919999999999,749,0,3065,2978,6043,384,3,0
361,2011-12-27,1.0,0,12,0,2,1,2,13.0,0.327633,114.375,0.18845,517,0,103,1059,1162,907,1,1
471,2012-04-15,2.0,1,4,0,0,0,1,24.2667,0.573875,76.18755,0.225129,554,0,2846,4286,7132,95,2,6
65,2011-03-06,1.0,0,3,0,0,0,2,15.0609,0.366252,142.23915,0.343287,667,0,114,491,605,1286,1,6
698,2012-11-28,4.0,1,11,0,3,1,1,11.8667,0.289762,75.9375,0.210821,935,1,198,5062,5260,808,4,2
189,2011-07-08,3.0,0,7,0,5,1,2,28.3667,0.6704829999999999,113.68755,0.225129,1015,0,692,3348,4040,388,3,4
641,2012-10-02,4.0,1,10,0,2,1,3,23.6333,0.542333,130.75005,0.104475,499,0,315,4324,4639,682,4,1
255,2011-09-12,3.0,0,9,0,1,1,1,25.7739,0.60213,103.8261,0.088913,532,0,690,4023,4713,592,3,0
473,2012-04-17,2.0,1,4,0,2,1,1,24.3333,0.598487,58.56255,0.273629,633,0,989,5702,6691,97,2,1
509,2012-05-23,2.0,1,5,0,3,1,2,24.8667,0.584612,116.18745,0.102,873,0,766,4494,5260,203,2,2
67,2011-03-08,1.0,0,3,0,2,1,1,11.7,0.3024,63.12495,0.12065,924,0,316,1817,2133,1288,1,1
240,2011-08-28,3.0,0,8,0,0,0,1,28.2824,0.6479590000000001,84.26475,0.304659,615,0,1415,2919,4334,508,3,6
71,2011-03-12,1.0,0,3,0,6,0,1,13.1667,0.32575,89.18745,0.220775,580,0,724,1408,2132,1292,1,5
485,2012-04-29,2.0,1,4,0,0,0,1,18.3333,0.450121,88.06245,0.116908,869,0,2229,4075,6304,109,2,6
652,2012-10-13,4.0,1,10,0,6,0,1,15.7333,0.391396,74.18745,0.146142,632,0,2252,4857,7109,693,4,5
721,2012-12-21,1.0,1,12,0,5,1,2,13.0667,0.301767,83.50005,0.374383,881,0,221,3402,3623,901,1,4
242,2011-08-30,3.0,0,8,0,2,1,1,25.5667,0.594704,82.24995,0.12500799999999998,576,1,775,4429,5204,510,3,1
234,2011-08-22,3.0,0,8,0,1,1,1,27.6667,0.638254,70.5,0.27675,990,0,833,3925,4758,502,3,0
66,2011-03-07,1.0,0,3,0,1,1,1,10.4696,0.238461,82.6956,0.341352,981,1,244,1628,1872,1287,1,0
725,2012-12-25,1.0,1,12,1,2,0,2,11.6522,0.29446500000000003,,0.168726,699,0,440,573,1013,905,1,1
102,2011-04-12,2.0,0,4,0,2,1,2,20.1,0.493054,110.87505,0.274879,813,0,257,1777,2034,92,2,1
13,2011-01-13,1.0,0,1,0,4,1,1,6.6,0.150883,70.56255,0.301,572,1,38,1368,1406,1093,1,3
399,2012-02-03,,1,2,0,5,1,1,12.5333,0.309346,79.00005,0.17849600000000002,860,0,310,3841,4151,1183,1,4
342,2011-12-08,4.0,0,12,0,4,1,1,10.6333,0.256938,87.0,0.240058,573,0,150,3172,3322,888,4,3
713,2012-12-13,,1,12,0,4,1,1,11.8333,0.294188,72.87495,0.174129,676,0,425,5107,5532,893,4,3
253,2011-09-10,3.0,0,9,0,6,0,1,26.4,0.607962,113.0625,0.153608,560,0,1750,3595,5345,590,3,5
184,2011-07-03,,0,7,0,0,0,2,28.6667,0.668575,102.375,0.228858,722,0,2282,2367,4649,383,3,6
214,2011-08-02,3.0,0,8,0,2,1,1,31.3333,0.707071,73.6875,0.20585,617,0,801,4044,4845,482,3,1
272,2011-09-29,4.0,0,9,0,4,1,1,24.6667,0.574512,104.87505,0.17288299999999998,920,0,653,4186,4839,609,4,3
582,2012-08-04,3.0,1,8,0,6,0,1,31.7333,0.751267,91.99995,0.257458,606,0,2345,4479,6824,484,3,5
267,2011-09-24,4.0,0,9,0,6,0,2,24.2667,0.564412,129.375,0.0783833,968,0,1776,3647,5423,604,4,5
433,2012-03-08,1.0,1,3,0,4,1,1,21.1,0.524604,85.125,0.441563,870,0,486,4896,5382,1288,1,3
358,2011-12-24,1.0,0,12,0,6,0,1,12.1,0.299242,81.375,0.190304,803,0,155,856,1011,904,1,5
97,2011-04-07,2.0,0,4,0,4,1,1,17.5,0.433696,90.43755,0.16231199999999998,929,0,571,2570,3141,87,2,3
363,2011-12-29,1.0,0,12,0,4,1,1,9.9333,0.263892,86.12505,0.119412,728,0,254,2169,2423,909,1,3
31,2011-01-31,,0,1,0,1,1,2,7.2333,0.18625,90.5625,0.187192,901,0,42,1459,1501,1111,1,0
117,2011-04-27,2.0,0,4,0,3,1,2,24.8,0.575142,125.31255,0.3122,849,1,547,3325,3872,107,2,2
332,2011-11-28,4.0,0,11,0,1,1,1,20.1391,0.490122,111.45645,0.142122,637,0,253,3614,3867,808,4,0
424,2012-02-28,1.0,1,2,0,2,1,1,14.3667,0.353525,59.37495,0.193417,595,0,229,4134,4363,1208,1,1
489,2012-05-03,2.0,1,5,0,4,1,2,22.4,0.537242,115.24995,0.133696,908,1,764,5657,6421,183,2,3
428,2012-03-03,1.0,1,3,0,6,0,2,16.5667,0.413492,93.1875,0.161079,642,0,956,3110,4066,1283,1,5
406,2012-02-10,1.0,1,2,0,5,1,2,11.2333,0.293558,81.0,0.116929,764,0,227,3604,3831,1190,1,4
193,2011-07-12,3.0,0,7,0,2,1,1,31.7667,0.739275,83.87505,0.200254,670,0,662,3596,4258,392,3,1
415,2012-02-19,1.0,1,2,0,0,0,2,11.2,0.265788,77.37495,0.253112,838,0,618,2071,2689,1199,1,6
508,2012-05-22,2.0,1,5,0,2,1,2,24.6,0.580825,114.87495,0.118167,576,0,819,5254,6073,202,2,1
385,2012-01-20,1.0,1,1,0,5,1,2,8.7,0.220958,67.5,0.20275,584,0,115,3048,3163,1100,1,4
498,2012-05-12,2.0,1,5,0,6,0,1,22.5667,0.544817,72.06255,0.123133,813,0,2622,4807,7429,192,2,5
372,2012-01-07,,1,1,0,6,0,1,15.7333,0.390779,79.75005,0.174758,827,0,1070,3451,4521,1087,1,5
503,2012-05-17,2.0,1,5,0,4,1,1,23.7333,0.572613,78.0,0.229475,882,0,1242,6142,7384,197,2,3
477,2012-04-21,2.0,1,4,0,6,0,1,22.8,0.542921,102.43755,0.283587,524,0,2541,4083,6624,101,2,5
20,2011-01-20,1.0,0,1,0,4,1,2,10.4667,0.25505,,0.195904,992,0,83,1844,1927,1100,1,3
440,2012-03-15,,1,3,0,4,1,1,22.3,0.532825,86.93745,0.149883,624,0,1005,5187,6192,1295,1,3
55,2011-02-24,1.0,0,2,0,4,1,2,11.8261,0.289191,104.60865,0.250496,759,0,100,1707,1807,1204,1,3
587,2012-08-09,3.0,1,8,0,4,1,1,30.2333,0.699508,93.06255,0.1561,1006,1,1196,6090,7286,489,3,3
70,2011-03-11,1.0,0,3,0,5,1,2,12.6609,0.305,97.43475,0.23297,487,1,247,1730,1977,1291,1,4
550,2012-07-03,3.0,1,7,0,2,1,1,31.2333,0.70265,73.81245,0.126237,790,0,1052,5608,6660,383,3,1
110,2011-04-20,2.0,0,4,0,3,1,1,23.8,0.564392,92.12505,0.241925,750,1,613,3331,3944,100,2,2
243,2011-08-31,,0,8,0,3,1,1,26.2667,0.611121,89.68755,0.08333330000000001,628,0,688,4370,5058,511,3,2
469,2012-04-13,2.0,1,4,0,5,1,1,17.7,0.431808,61.24995,0.155471,965,0,1252,5146,6398,93,2,4
59,2011-02-28,1.0,0,2,0,1,1,2,16.2909,0.400118,,0.289686,471,1,81,1365,1446,1208,1,0
151,2011-05-31,2.0,0,5,0,2,1,1,31.0,0.725383,95.50005,0.111329,843,0,673,3309,3982,211,2,1
32,2011-02-01,1.0,0,2,0,2,1,2,7.687,0.23453,124.43475,0.053213,914,0,47,1313,1360,1181,1,1
169,2011-06-18,2.0,0,6,0,6,0,1,27.8667,0.643954,100.56255,0.119408,617,0,1807,3312,5119,298,2,5
517,2012-05-31,2.0,1,5,0,4,1,1,27.2,0.631329,73.93755,0.195279,986,0,1100,6238,7338,211,2,3
696,2012-11-26,4.0,1,11,0,1,1,1,12.5333,0.339004,80.31255,0.04665,1025,0,337,4750,5087,806,4,0
690,2012-11-20,4.0,1,11,0,2,1,2,14.9667,0.380667,102.75,0.082725,796,0,534,5100,5634,800,4,1
455,2012-03-30,2.0,1,3,0,5,1,2,14.8,0.375621,87.12495,0.138067,1016,0,796,4663,5459,10,2,4
506,2012-05-20,2.0,1,5,0,0,0,1,24.8333,0.583967,79.56255,0.254367,783,0,2704,4425,7129,200,2,6
91,2011-04-01,2.0,0,4,0,5,1,2,12.0,0.283454,102.9375,0.258708,699,1,307,1920,2227,81,2,4
260,2011-09-17,3.0,0,9,0,6,0,2,19.6667,0.478512,107.74995,0.189675,939,1,1434,3077,4511,597,3,5
317,2011-11-13,4.0,0,11,0,-1,0,1,17.6333,0.43055,68.74995,0.281721,829,0,1004,2713,3717,793,4,6
145,2011-05-25,2.0,0,5,0,3,1,1,26.4333,0.615542,104.4375,0.15423299999999998,702,0,740,4238,4978,205,2,2
695,2012-11-25,4.0,1,11,0,0,0,1,9.8333,0.257583,70.24995,0.1505,728,0,309,2115,2424,805,4,6
595,2012-08-17,3.0,1,8,0,5,1,1,28.9333,0.2424,85.62495,0.231354,887,0,1483,5665,7148,497,3,4
519,2012-06-02,2.0,1,6,0,6,0,1,23.3333,0.566288,82.37505,0.186562,743,0,2795,5325,8120,282,2,5
427,2012-03-02,1.0,1,3,0,5,1,2,14.1333,0.359842,98.56245,0.144904,867,0,246,2948,3194,1282,1,4
515,2012-05-29,2.0,1,5,0,2,1,1,28.9,0.672992,102.68745,0.2954,598,1,880,4863,5743,209,2,1
670,2012-10-31,4.0,1,10,0,3,1,2,14.3,0.3611,100.00005,0.166667,747,0,419,5147,5566,711,4,2
284,2011-10-11,4.0,0,10,0,2,1,2,22.6667,0.546096,121.3125,0.143042,800,0,667,3896,4563,691,4,1
3,2011-01-03,,0,1,0,1,1,1,7.8546,0.189405,65.59095,0.248309,829,0,120,1229,1349,1083,1,0
49,2011-02-18,1.0,0,2,0,5,1,1,20.8667,0.511983,77.50005,0.264925,681,0,579,2348,2927,1198,1,4
673,2012-11-03,4.0,1,11,0,6,0,2,13.7333,0.323846,73.6875,0.270529,827,0,1029,4109,5138,783,4,5
323,2011-11-19,,0,11,0,6,0,1,13.1667,0.324483,75.31245,0.224496,1003,0,943,2720,3663,799,4,5
676,2012-11-06,4.0,1,11,0,2,1,1,11.2333,0.281567,85.06245,0.173513,677,0,466,5220,5686,786,4,1
142,2011-05-22,,0,5,0,0,0,1,24.1667,0.5745,112.43745,0.148008,703,0,1576,3084,4660,202,2,6
